NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
Luxury Rental Homes Trevi Fountain,IT,Italy,41.90468654,12.48984229,Entire home/apt,3,1,1,2,$110.00 
Charming apartment near Vatican,IT,Italy,41.91694727,12.45184791,Entire home/apt,2,1,1,1,$60.00 
BARBERINI LUX-Trevi Fountain,IT,Italy,41.90343925,12.48956709,Entire home/apt,5,2,2,2,$119.00 
Brand new apartment. Special promo,IT,Italy,41.88782218,12.46999944,Entire home/apt,4,1,1,1,$95.00 
Rome Kings Suite,IT,Italy,41.90419307,12.48687055,Entire home/apt,2,2,2,4,$120.00 
CASA TREVI GARDEN N. 2,IT,Italy,41.90301382,12.48650633,Entire home/apt,3,,1,3,$110.00 
Foscolo Hideaway-Alloggio Turistico,IT,Italy,41.89024336,12.50778392,Entire home/apt,2,1,1,1,$60.00 
Downtown srl - The Great Beauty Apartment,IT,Italy,41.88678698,12.46834128,Entire home/apt,8,2,2,4,$199.00 
Appartamento Boccaccio 3,IT,Italy,41.90204675,12.48761317,Entire home/apt,4,1,1,2,$140.00 
Colosseo Apartment,IT,Italy,41.88969735,12.49900423,Entire home/apt,4,1,2,3,$92.00 
Charming 1bdr apartment next the Colosseum,IT,Italy,41.88822228,12.49630841,Entire home/apt,4,1,1,2,$99.00 
Home COLOSSEUM/CENTRE - quiet and well connected,IT,Italy,41.88991937,12.49944231,Entire home/apt,6,1,1,3,$114.00 
Stanza singola a Musei Vaticani,IT,Italy,41.90809518,12.4493435,Private room,1,1,1,1,$30.00 
1 Bedroom Apartment 70mqs + balcony,IT,Italy,41.90407434,12.48596213,Entire home/apt,5,1,1,5,$130.00 
CALM AND QUIET IN TRASTEVERE!,IT,Italy,41.89066797,12.4680848,Entire home/apt,4,1,1,2,$75.00 
Luxury P.za De'Renzi Trastevere,IT,Italy,41.88990907,12.46995128,Entire home/apt,4,1,1,1,$99.00 
Loft 77 Vatican,IT,Italy,41.90495212,12.44882191,Entire home/apt,4,1,1,1,$88.00 
La Dolce Vita Trevi Fountain: your home!,IT,Italy,41.90246914,12.48810836,Entire home/apt,5,2,2,3,$135.00 
Central quiet apartment and terrace,IT,Italy,41.90849888,12.47715818,Entire home/apt,4,1,1,2,$110.00 
Modern and Cosy 1 Bed Flat Close to Colosseum,IT,Italy,41.88798722,12.50075933,Entire home/apt,4,1,1,2,$70.00 
"Vatican, winter special price!!!",IT,Italy,41.90558329,12.44651418,Entire home/apt,3,1,1,2,$59.00 
Colosseo 2 bedroom walking distance,IT,Italy,41.88919099,12.50105286,Entire home/apt,4,1,2,3,$94.00 
San Clemente view,IT,Italy,41.88995781,12.4973594,Entire home/apt,2,1,1,1,$70.00 
Amazing terrace near Colosseum,IT,Italy,41.88718526,12.50126402,Entire home/apt,8,2,3,4,$120.00 
Elegant and charming apt Navona,IT,Italy,41.90257028,12.47331632,Entire home/apt,4,1,1,2,$120.00 
"Coffee Gem, Colosseo",IT,Italy,41.88900442,12.49728127,Entire home/apt,4,1,1,2,$69.00 
Studio Scala - Center of Trastevere,IT,Italy,41.88997221,12.46796543,Entire home/apt,3,1,1,1,$85.00 
1BR Design Apt at Vatican Museum with Terrace WIFI,IT,Italy,41.91032638,12.44692601,Entire home/apt,4,2,1,2,$100.00 
Le Stanze di Elle San Giovanni 1 Stazione Termini,IT,Italy,41.8866798,12.509211,Private room,2,1,1,1,$90.00 
B&B Musei Vaticani,IT,Italy,41.90779792,12.45320056,Private room,1,1,1,1,$55.00 
"Abbitu̬, the real heart of Rome",IT,Italy,41.9094922,12.47575312,Entire home/apt,6,1,2,3,$130.00 
MANZONI Apartment,IT,Italy,41.8894027,12.50714318,Entire home/apt,7,2,3,6,$127.00 
Casina Sistina close to the Vatican,IT,Italy,41.90881538,12.44973412,Entire home/apt,3,1,1,1,$60.00 
Visconti / Historic Center /close Castel S' Angelo,IT,Italy,41.90815778,12.46958652,Entire home/apt,5,1,2,4,$121.00 
OFFER Navona Pantheon byBastianelli,IT,Italy,41.90101387,12.47059181,Entire home/apt,5,1,2,3,$70.00 
Holiday Vatican Museums,IT,Italy,41.9037583,12.44451971,Entire home/apt,5,1,2,5,$60.00 
Coronari near Piazza Navona with wellness center,IT,Italy,41.90042194,12.47048732,Entire home/apt,9,3,3,6,$239.00 
Junior Suite,IT,Italy,41.9083468,12.48864554,Private room,2,1,1,1,$115.00 
SUPERIOR Room with INTERNAL BATHROOM,IT,Italy,41.89140511,12.51420116,Private room,2,1,1,1,$52.00 
B&B adiacente musei vaticani M,IT,Italy,41.9100014,12.44553184,Private room,3,1,1,3,$85.00 
Appartement 2 pi̬ces sur le Tevere,IT,Italy,41.91245825,12.47046968,Entire home/apt,4,1,1,3,$60.00 
Camera quadrupla,IT,Italy,41.89175898,12.51278895,Private room,4,1,1,3,$99.00 
4BROS Wonderful Apt by the City Center/8,IT,Italy,41.91026998,12.45164789,Entire home/apt,6,2,2,3,$180.00 
Spanish Steps Luxury Apartment,IT,Italy,41.90443139,12.48600187,Entire home/apt,5,1,2,5,$169.00 
CASA ORCHIDEA GARDEN Roma Vaticano,IT,Italy,41.90652858,12.44862584,Entire home/apt,4,1,1,4,$75.00 
S.Giovanni apartment,IT,Italy,41.88919405,12.51241787,Entire home/apt,6,1,2,6,$130.00 
double room & breakfast in B&B Vatican Saint Peter,IT,Italy,41.90938457,12.45358248,Private room,2,1,1,1,$104.00 
"NAVONA APARTMENT FOR A FAMILY, BRIGHT & CLEAN",IT,Italy,41.90147906,12.47183947,Entire home/apt,4,1,1,4,$140.00 
camera doppia con bagno privato,IT,Italy,41.8908001,12.50640345,Private room,2,1,1,1,$55.00 
b&b c/ terrazza musei vaticani tDBc,IT,Italy,41.9065787,12.45217328,Private room,2,1,1,2,$200.00 
La casa del romano | roman's house,IT,Italy,41.9066081,12.46917983,Entire home/apt,10,2,4,4,$105.00 
,IT,Italy,41.90424301,12.4902534,Entire home/apt,3,1,2,2,$190.00 
Private bedroom  / shared bathroom,IT,Italy,41.9078909,12.44664786,Private room,3,0.5,1,2,$40.00 
The House Campanella al Vaticano,IT,Italy,41.9079313,12.45081859,Entire home/apt,6,1,2,3,$105.00 
A Luxury Flat near St. Peter's,IT,Italy,41.90743009,12.46546329,Entire home/apt,8,2.5,3,4,$365.00 
Lovely Miniloft Castel Sant'Angelo,IT,Italy,41.9000755,12.46585795,Entire home/apt,2,1,0,2,$79.00 
GINA B&B,IT,Italy,41.89148126,12.51438234,Private room,2,1,1,2,$65.00 
Most beautiful terrace in TrastevereBroadband WiFI,IT,Italy,41.88899592,12.47098359,Entire home/apt,2,1,0,1,$150.00 
Maxim rooms,IT,Italy,41.88844274,12.51543448,Private room,2,1,1,1,$50.00 
Affascinante appartamento in Prati,IT,Italy,41.90533494,12.47177592,Entire home/apt,2,1,1,1,$400.00 
Matilde's HOUSE San Pietro a Roma ,IT,Italy,41.90509791,12.44761581,Entire home/apt,2,1,1,1,$75.00 
Trevi Apartment,IT,Italy,41.90248188,12.48577461,Entire home/apt,6,1.5,2,4,$150.00 
Vatican Museum,IT,Italy,41.90277158,12.44660283,Entire home/apt,2,1,1,1,$55.00 
Cozy House- Colosseum,IT,Italy,41.88869306,12.49759303,Entire home/apt,4,1,2,2,$62.00 
Caf̩ Couette au Colis̩e Dolce Vita,IT,Italy,41.89194666,12.51269681,Entire home/apt,3,1,1,2,$89.00 
Vicolo del Piede 31 - Trastevere,IT,Italy,41.89015195,12.47079948,Entire home/apt,2,1,0,1,$70.00 
2br apt Cartari at Piazza Navona,IT,Italy,41.89656721,12.46702416,Entire home/apt,4,1,2,2,$129.00 
Ripetta gialla,IT,Italy,41.90806006,12.47490316,Entire home/apt,4,1,1,2,$80.00 
Rooms with private bathrooms- WIFI A/C,IT,Italy,41.89200242,12.51449815,Private room,11,4,4,11,$34.00 
bookwedo Charming Ripetta,IT,Italy,41.9104425,12.47438204,Entire home/apt,4,1,2,2,$186.00 
Nuovissimovicino Termini e Colosseo,IT,Italy,41.88963664,12.51446646,Private room,6,4,1,4,$65.00 
Il cielo nella stanza,IT,Italy,41.89980084,12.46804988,Entire home/apt,5,1,1,5,$70.00 
MONTE OPPIO RED ROOM,IT,Italy,41.89143015,12.49170744,Private room,2,1,1,1,$35.00 
Central Studio with 24/7 Concierge (1 guest),IT,Italy,41.9156841,12.46773127,Entire home/apt,1,1,1,1,$94.00 
,IT,Italy,41.90301688,12.49582356,Entire home/apt,4,1,1,2,$140.00 
Gorgeous Apt with Terrace Vatican,IT,Italy,41.91122659,12.46705336,Entire home/apt,6,1,2,4,$120.00 
Maison Ottaviano (San Pietro),IT,Italy,41.91916054,12.46684951,Entire home/apt,4,1,1,2,$40.00 
Apartment Colosseo on sight,IT,Italy,41.88909302,12.49926442,Entire home/apt,6,1,2,4,$47.00 
Luxury Roman Holidays Apartment,IT,Italy,41.8951011,12.46605938,Entire home/apt,5,2,2,3,$200.00 
Unique New Luxury Mezzanine,IT,Italy,41.8992409,12.4662926,Entire home/apt,4,1,2,2,$98.00 
Charming house in Via Giulia!,IT,Italy,41.89682422,12.46876727,Entire home/apt,6,1,2,4,$135.00 
RomanHouse Charming Apt. Colosseo ,IT,Italy,41.88984516,12.50182564,Entire home/apt,5,1,2,4,$69.00 
Vip Lounge Colosseum - double room,IT,Italy,41.89059526,12.5071957,Entire home/apt,2,1,0,1,$75.00 
BED AND BREAKFAST THE FLOWER ROMA  ,IT,Italy,41.90706579,12.45216397,Private room,2,1,1,1,$75.00 
Loft behind Sistine Chapel,IT,Italy,41.90970774,12.44994908,Entire home/apt,5,1,3,3,$100.00 
YourStay@Rome S.Giovanni inLaterano,IT,Italy,41.88913469,12.50733201,Entire home/apt,6,1,2,3,$145.00 
Bright Roman Holiday Home Near Spanish Steps,IT,Italy,41.90348863,12.48782404,Entire home/apt,4,1,2,3,$169.00 
Colosseo 85 happy house,IT,Italy,41.88793386,12.49924432,Entire home/apt,4,1,1,2,$85.00 
Trilussa residence Mameli 59,IT,Italy,41.88693421,12.46769292,Entire home/apt,3,1,1,2,$43.00 
