NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
Modern 2 bed apartment.,IE,Ireland,53.33236283,-6.23619549,Entire home/apt,4,1,2,2,$149.00 
City Centre 2 Bedroom Apartment,IE,Ireland,53.35845775,-6.257303755,Entire home/apt,7,1,2,5,$160.00 
Fantastic Georgian Flat City Centre,IE,Ireland,53.35819662,-6.256633099,Entire home/apt,2,1,1,2,$79.00 
Dublin's Funnest Street (#2),IE,Ireland,53.33657984,-6.265193405,Entire home/apt,6,1,2,2,$110.00 
Funky Studio & Sauna close to city,IE,Ireland,53.33512307,-6.281812381,Entire home/apt,2,1.5,0,1,$70.00 
Magnificent Apartment in Dublin,IE,Ireland,53.35131499,-6.258756154,Entire home/apt,10,3,4,4,$170.00 
Comfortable Penthouse - Great View,IE,Ireland,53.34281295,-6.236190363,Entire home/apt,4,1,2,2,$199.00 
1 Bed Apartment in the heart of Temple Bar,IE,Ireland,53.344684,-6.267693009,Entire home/apt,2,1,1,1,$110.00 
Charming spacious apartment for 2,IE,Ireland,53.33161084,-6.248242093,Entire home/apt,2,1,1,1,$90.00 
Cosy Private room in City Centre,IE,Ireland,53.34930291,-6.272502524,Private room,2,1,1,1,$40.00 
cuenta con habitacion individual,IE,Ireland,53.32168672,-6.30663742,Private room,1,1,1,1,$200.00 
Spencer Dock,IE,Ireland,53.34936227,-6.244703786,Entire home/apt,4,2,2,2,$100.00 
Room Canal dock - close city center,IE,Ireland,53.33889163,-6.237954259,Private room,1,1,1,1,$20.00 
Private flat in central location,IE,Ireland,53.35917898,-6.252462231,Entire home/apt,2,1,1,1,$50.00 
City centre apartment,IE,Ireland,53.34642527,-6.25827625,Entire home/apt,4,1,2,2,"$1,000.00 "
Pearse Street,IE,Ireland,53.34468197,-6.248785458,Entire home/apt,4,1,1,2,$122.00 
Beautiful Apartment in Dublin,IE,Ireland,53.33717155,-6.265749628,Entire home/apt,2,1,1,1,$120.00 
Ensuite - Dublin Center (private bathroom&balcony),IE,Ireland,53.35155948,-6.254625341,Private room,2,1,1,1,$80.00 
Lovely Single Room - Modern House,IE,Ireland,53.3579985,-6.278061942,Private room,1,1,1,1,$35.00 
Waterloo B&B Double room en-suite,IE,Ireland,53.36641996,-6.207798972,Private room,2,1,1,1,$28.00 
double room available,IE,Ireland,53.33325796,-6.324783992,Private room,2,1,1,1,$50.00 
Cowper 443,IE,Ireland,53.31547026,-6.262539217,Entire home/apt,4,1.5,2,3,$190.00 
Dublin Inclusive 3 Private Hostel,IE,Ireland,53.37195162,-6.252891535,Private room,2,1,1,1,$50.00 
Double room in spacious apartment.,IE,Ireland,53.35234462,-6.27458399,Private room,2,1,1,1,$49.00 
Raheny,IE,Ireland,53.37795475,-6.175284834,Private room,1,1,1,1,$60.00 
CAMERA MATRIMONIALE,IE,Ireland,53.35354121,-6.250479101,Private room,1,2,1,1,$34.00 
Grand Canal getaway,IE,Ireland,53.34465843,-6.235117636,Entire home/apt,4,1,2,2,$120.00 
HI SPEC 1 BR APT IN HEART OF DUBLIN,IE,Ireland,53.3506886,-6.259340535,Entire home/apt,3,1,1,2,$300.00 
double bed. 8min to city centre 3,IE,Ireland,53.35712765,-6.27153845,Private room,2,1,1,1,$40.00 
Dublin Inclusive 4 Private Hostel,IE,Ireland,53.37206992,-6.252286248,Private room,2,1,1,2,$50.00 
ìœ ëª…ê_µì›êì—êì„œì‚_ì‹_ë¶„,IE,Ireland,53.33557582,-6.287216734,Private room,1,0.5,1,1,$376.00 
TEMPLE BAR-CITY CENTRE,IE,Ireland,53.34770006,-6.260986591,Entire home/apt,5,1,2,3,$430.00 
"Beautiful home, Central location!",IE,Ireland,53.32738298,-6.253106077,Entire home/apt,4,3,2,2,$149.00 
Luxurious Penthouse Apartment,IE,Ireland,53.3456073,-6.23453233,Entire home/apt,2,1,1,1,$98.00 
wewee,IE,Ireland,53.39414905,-6.310523306,Private room,1,1,1,1,$25.00 
Warm and welcoming - close to DART,IE,Ireland,53.38568384,-6.155623108,Private room,2,1,1,1,$28.00 
Aladdin's cave in the city - Bed2,IE,Ireland,53.32996144,-6.298604256,Private room,2,1,1,1,$61.00 
City Centre Apt. very near Grafton,IE,Ireland,53.34166771,-6.262381141,Entire home/apt,3,1,1,2,$100.00 
Bright Penthouse Room in Dublin,IE,Ireland,53.35150817,-6.277129133,Private room,2,1,1,0,$72.00 
Cultural James Joyce House,IE,Ireland,53.34524099,-6.283788373,Private room,4,0.5,1,3,$400.00 
Beautiful room in City Center,IE,Ireland,53.3387631,-6.278961523,Private room,3,1.5,1,3,$150.00 
Beautiful bright apartment in the heart of Dublin,IE,Ireland,53.35350336,-6.258902771,Entire home/apt,5,2,2,2,$130.00 
Budget Accommodation Dublin Ireland (Studio 4),IE,Ireland,53.31685134,-6.265824883,Entire home/apt,2,1,0,1,$75.00 
"Rooftop Urban Sanctuary, Dublin City (entire home)",IE,Ireland,53.33559589,-6.248733437,Entire home/apt,4,1,2,2,$120.00 
Close to Christchurch &  Temple Bar,IE,Ireland,53.34022785,-6.27306714,Entire home/apt,4,1,2,3,$119.00 
Cosy en-suite bedroom in town house,IE,Ireland,53.32982587,-6.250033232,Private room,2,1,1,1,$95.00 
"New 2 Bedroom Apartment, 2 bathrooms, city centre",IE,Ireland,53.33586312,-6.248117669,Entire home/apt,4,2,2,2,$125.00 
Perfect City Centre 2 bedroom apt.,IE,Ireland,53.33799999,-6.272705982,Entire home/apt,4,2,2,2,$60.00 
Stylish Apt in Old Coach House -Dublin City!!!!,IE,Ireland,53.33012335,-6.250879391,Entire home/apt,4,1,1,2,$89.00 
F Double room shower ensuite,IE,Ireland,53.34608919,-6.269108303,Private room,2,1,1,1,$69.00 
Double Room in Arty Family Home,IE,Ireland,53.3645626,-6.307601038,Private room,2,2,1,1,$30.00 
Double room in cosy corner of Cabra,IE,Ireland,53.36284577,-6.295303338,Private room,2,1,1,1,$53.00 
